time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","rustdesk",6724,0,69.18,91.77,34,432,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","mstsc",9292,0,199.47,194.08,27,1242,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","mstsc",6556,0,199.37,193.78,29,1264,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","mstsc",8740,0,198.97,192.97,28,1255,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Mati","mstsc",9392,0,199.79,194.91,29,1264,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","rdpclip",11024,0,2.35,10.5,10,311,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","sihost",11080,0,5.58,26.51,13,470,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","taskhostw",10888,0,6.79,19.96,19,495,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","explorer",11416,0.02,38.4,108.16,41,1712,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","rdpclip",11580,0,2.33,10.62,10,311,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","sihost",11664,0,5.52,26.47,14,473,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","taskhostw",11960,0,6.52,19.9,19,491,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","explorer",12144,0.01,39.09,108.44,41,1715,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","rdpclip",11268,0,2.33,10.61,10,311,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","sihost",12012,0,5.46,26.45,13,474,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","taskhostw",12444,0,6.82,19.97,19,491,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","explorer",12644,0.02,38.6,108.46,41,1714,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","rdpclip",12768,0,2.32,10.62,10,312,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","sihost",12912,0,5.43,26.37,14,472,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","taskhostw",13084,0,6.47,19.82,19,490,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","explorer",12324,0.01,38.72,108.29,42,1713,"AboveNormal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","dllhost",13424,0,2.61,11.1,7,195,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","dllhost",13500,0,2.05,9.84,5,172,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","dllhost",13880,0,2.12,9.89,5,173,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","dllhost",14116,0,2.19,9.93,6,173,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","startmenuexperiencehost",14064,0,25.88,80.08,9,647,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","runtimebroker",14536,0,4.57,27.58,4,344,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","startmenuexperiencehost",14792,0,25.52,79.55,9,641,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","searchapp",15084,0,90.86,169.03,36,1061,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","runtimebroker",15160,0,4.48,27.32,4,310,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","runtimebroker",14740,0,7.15,29.81,11,489,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","startmenuexperiencehost",15612,0,25.53,79.62,9,643,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","searchapp",15896,0,91.14,168.97,34,1052,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","runtimebroker",15940,0,4.4,27.23,5,309,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc3","runtimebroker",16152,0,7.13,29.79,11,490,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","startmenuexperiencehost",16280,0,25.57,79.56,9,643,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","runtimebroker",7632,0,4.41,27.29,4,311,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","searchapp",16484,0,92,169.55,35,1055,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc2","runtimebroker",16720,0,7.19,29.86,11,490,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","searchapp",17000,0,91.61,169.52,35,1057,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc4","runtimebroker",17272,0,7.26,29.86,12,491,"Normal","True",""
2026-04-29T01:09:11.1918196+02:00,2,"DINOZAUR15\Acc1","runtimebroker",17440,0,2.51,13.59,4,231,"Normal","True",""
